
                              SATURN  

            Time        a        Q        e      peri       i        M      node     oblq       q        r        x        y        z       vx       vy       vz   
          3.1540041  9.58579 10.13878 0.057688 338.8668   2.4857 343.9224 113.6263   2.4857   9.0328   9.0571  2.42319  8.72340 -0.24814 -0.00568  0.00148  0.00020
          3.2197125  9.58581 10.13901 0.057711 338.9410   2.4857 344.6542 113.6261   2.4857   9.0326   9.0548  2.28661  8.75791 -0.24331 -0.00570  0.00140  0.00020
          3.3292266  9.58569 10.13910 0.057732 339.0685   2.4857 345.8694 113.6261   2.4857   9.0323   9.0511  2.05783  8.81094 -0.23513 -0.00574  0.00126  0.00021
          3.3949350  9.58549 10.13886 0.057730 339.1426   2.4857 346.6002 113.6263   2.4857   9.0321   9.0491  1.91992  8.84004 -0.23015 -0.00576  0.00117  0.00021
          3.4606434  9.58528 10.13858 0.057724 339.2110   2.4857 347.3362 113.6263   2.4857   9.0320   9.0471  1.78157  8.86710 -0.22512 -0.00577  0.00108  0.00021
          3.5263518  9.58511 10.13837 0.057721 339.2740   2.4857 348.0772 113.6263   2.4857   9.0318   9.0453  1.64281  8.89211 -0.22004 -0.00579  0.00100  0.00021
          3.6358658  9.58490 10.13813 0.057720 339.3716   2.4857 349.3188 113.6263   2.4857   9.0317   9.0424  1.41071  8.92922 -0.21145 -0.00581  0.00086  0.00022
          3.7015743  9.58488 10.13819 0.057728 339.4271   2.4857 350.0669 113.6262   2.4857   9.0316   9.0409  1.27100  8.94873 -0.20624 -0.00583  0.00077  0.00022
          3.7672827  9.58491 10.13835 0.057741 339.4854   2.4857 350.8124 113.6262   2.4857   9.0315   9.0395  1.13101  8.96617 -0.20097 -0.00584  0.00068  0.00022
          3.8329911  9.58487 10.13837 0.057747 339.5497   2.4857 351.5523 113.6264   2.4857   9.0314   9.0381  0.99075  8.98153 -0.19566 -0.00585  0.00060  0.00022
          3.8986995  9.58474 10.13820 0.057744 339.6160   2.4856 352.2904 113.6265   2.4856   9.0313   9.0369  0.85026  8.99481 -0.19030 -0.00586  0.00051  0.00022
          4.0082136  9.58431 10.13747 0.057715 339.7284   2.4856 353.5186 113.6267   2.4856   9.0311   9.0351  0.61569  9.01230 -0.18128 -0.00587  0.00036  0.00023
          4.0739220  9.58387 10.13666 0.057679 339.7937   2.4856 354.2572 113.6269   2.4856   9.0311   9.0342  0.47476  9.02001 -0.17581 -0.00587  0.00028  0.00023
          4.1396304  9.58339 10.13575 0.057637 339.8511   2.4856 355.0031 113.6268   2.4856   9.0310   9.0334  0.33371  9.02562 -0.17030 -0.00588  0.00019  0.00023
          4.2053388  9.58295 10.13490 0.057598 339.9017   2.4856 355.7553 113.6266   2.4856   9.0310   9.0327  0.19259  9.02914 -0.16474 -0.00588  0.00010  0.00023
          4.3148528  9.58233 10.13372 0.057542 339.9799   2.4857 357.0148 113.6263   2.4857   9.0309   9.0318 -0.04268  9.03035 -0.15541 -0.00588 -0.00004  0.00023
          4.3805613  9.58201 10.13310 0.057513 340.0240   2.4857 357.7732 113.6261   2.4857   9.0309   9.0314 -0.18384  9.02828 -0.14976 -0.00588 -0.00013  0.00024
          4.4462697  9.58174 10.13257 0.057487 340.0688   2.4857 358.5311 113.6259   2.4857   9.0309   9.0311 -0.32495  9.02412 -0.14407 -0.00588 -0.00022  0.00024
          4.5119781  9.58146 10.13202 0.057461 340.1165   2.4857 359.2863 113.6258   2.4857   9.0309   9.0310 -0.46599  9.01786 -0.13836 -0.00587 -0.00030  0.00024
          4.6214921  9.58079 10.13067 0.057394 340.1944   2.4857   0.5465 113.6259   2.4857   9.0309   9.0309 -0.70079  9.00278 -0.12875 -0.00586 -0.00045  0.00024
          4.6872005  9.58034 10.12976 0.057349 340.2363   2.4857   1.3071 113.6259   2.4857   9.0309   9.0311 -0.84146  8.99094 -0.12295 -0.00586 -0.00054  0.00024
          4.7529090  9.57989 10.12886 0.057304 340.2757   2.4857   2.0700 113.6259   2.4857   9.0309   9.0313 -0.98193  8.97702 -0.11712 -0.00585 -0.00062  0.00024
          4.8186174  9.57942 10.12790 0.057256 340.3116   2.4857   2.8361 113.6259   2.4857   9.0309   9.0317 -1.12217  8.96102 -0.11127 -0.00584 -0.00071  0.00024
          4.8843258  9.57900 10.12705 0.057214 340.3447   2.4857   3.6050 113.6257   2.4857   9.0310   9.0322 -1.26214  8.94293 -0.10539 -0.00583 -0.00080  0.00025
          4.9938398  9.57843 10.12587 0.057153 340.4035   2.4858   4.8835 113.6255   2.4858   9.0310   9.0332 -1.49477  8.90819 -0.09553 -0.00580 -0.00094  0.00025
          5.0595483  9.57803 10.12502 0.057109 340.4417   2.4858   5.6480 113.6254   2.4858   9.0310   9.0340 -1.63388  8.88459 -0.08959 -0.00579 -0.00103  0.00025
          5.1252567  9.57756 10.12405 0.057059 340.4791   2.4858   6.4135 113.6253   2.4858   9.0311   9.0349 -1.77262  8.85893 -0.08362 -0.00577 -0.00111  0.00025
          5.1909651  9.57702 10.12292 0.057001 340.5147   2.4858   7.1810 113.6252   2.4858   9.0311   9.0359 -1.91094  8.83121 -0.07764 -0.00575 -0.00120  0.00025
          5.3004791  9.57589 10.12058 0.056882 340.5641   2.4858   8.4694 113.6251   2.4858   9.0312   9.0379 -2.14047  8.78048 -0.06763 -0.00572 -0.00134  0.00025
          5.3661875  9.57514 10.11905 0.056804 340.5821   2.4859   9.2532 113.6250   2.4859   9.0312   9.0392 -2.27753  8.74733 -0.06160 -0.00570 -0.00142  0.00025
          5.4318960  9.57445 10.11764 0.056733 340.5942   2.4859  10.0425 113.6249   2.4859   9.0313   9.0406 -2.41406  8.71216 -0.05556 -0.00568 -0.00151  0.00025
          5.4976044  9.57385 10.11640 0.056671 340.6054   2.4859  10.8326 113.6248   2.4859   9.0313   9.0421 -2.55002  8.67498 -0.04950 -0.00565 -0.00159  0.00025
          5.6071184  9.57298 10.11462 0.056580 340.6216   2.4860  12.1515 113.6246   2.4860   9.0313   9.0450 -2.77530  8.60856 -0.03938 -0.00561 -0.00173  0.00025
          5.6728268  9.57256 10.11375 0.056535 340.6354   2.4860  12.9391 113.6246   2.4860   9.0314   9.0468 -2.90962  8.56606 -0.03330 -0.00558 -0.00181  0.00025
          5.7385352  9.57215 10.11287 0.056489 340.6545   2.4861  13.7221 113.6245   2.4861   9.0314   9.0487 -3.04327  8.52158 -0.02721 -0.00555 -0.00189  0.00025
          5.8042437  9.57164 10.11179 0.056432 340.6723   2.4861  14.5067 113.6245   2.4861   9.0315   9.0508 -3.17621  8.47514 -0.02111 -0.00552 -0.00198  0.00025
          5.8699521  9.57106 10.11056 0.056369 340.6870   2.4861  15.2944 113.6245   2.4861   9.0315   9.0530 -3.30841  8.42675 -0.01501 -0.00549 -0.00206  0.00025
          5.9794661  9.56995 10.10827 0.056251 340.7028   2.4861  16.6158 113.6245   2.4861   9.0316   9.0568 -3.52704  8.34180 -0.00484 -0.00544 -0.00219  0.00025
          6.0451745  9.56920 10.10674 0.056174 340.7032   2.4861  17.4174 113.6245   2.4861   9.0317   9.0593 -3.65714  8.28827  0.00127 -0.00540 -0.00227  0.00025
          6.1108830  9.56849 10.10528 0.056100 340.6989   2.4862  18.2231 113.6245   2.4862   9.0317   9.0618 -3.78639  8.23284  0.00737 -0.00537 -0.00235  0.00025
          6.1765914  9.56784 10.10397 0.056034 340.6941   2.4862  19.0292 113.6245   2.4862   9.0317   9.0645 -3.91477  8.17552  0.01348 -0.00533 -0.00243  0.00025
          6.2861054  9.56678 10.10180 0.055925 340.6874   2.4863  20.3719 113.6246   2.4863   9.0318   9.0692 -4.12672  8.07583  0.02364 -0.00527 -0.00256  0.00025
          6.3518138  9.56614 10.10050 0.055859 340.6818   2.4864  21.1792 113.6247   2.4864   9.0318   9.0721 -4.25264  8.01356  0.02974 -0.00523 -0.00263  0.00025
          6.4175222  9.56549 10.09916 0.055792 340.6754   2.4864  21.9874 113.6248   2.4864   9.0318   9.0751 -4.37758  7.94945  0.03582 -0.00519 -0.00271  0.00025
          6.4832307  9.56475 10.09767 0.055717 340.6657   2.4864  22.7992 113.6248   2.4864   9.0318   9.0783 -4.50151  7.88353  0.04190 -0.00514 -0.00278  0.00025
          6.5927447  9.56341 10.09501 0.055587 340.6314   2.4865  24.1693 113.6250   2.4865   9.0318   9.0838 -4.70577  7.76968  0.05201 -0.00507 -0.00291  0.00025
          6.6584531  9.56267 10.09355 0.055516 340.6058   2.4865  24.9957 113.6251   2.4865   9.0318   9.0872 -4.82689  7.69901  0.05806 -0.00502 -0.00298  0.00025
          6.7241615  9.56197 10.09219 0.055451 340.5809   2.4866  25.8216 113.6252   2.4866   9.0317   9.0907 -4.94692  7.62659  0.06409 -0.00498 -0.00305  0.00025
          6.7898700  9.56133 10.09096 0.055393 340.5558   2.4866  26.6473 113.6254   2.4866   9.0317   9.0943 -5.06581  7.55244  0.07011 -0.00493 -0.00313  0.00025
          6.8555784  9.56079 10.08990 0.055342 340.5352   2.4867  27.4688 113.6256   2.4867   9.0317   9.0980 -5.18356  7.47658  0.07612 -0.00488 -0.00320  0.00025
          6.9650924  9.55994 10.08820 0.055258 340.5133   2.4867  28.8270 113.6258   2.4867   9.0317   9.1045 -5.37717  7.34640  0.08609 -0.00480 -0.00331  0.00025
          7.0308008  9.55932 10.08696 0.055196 340.4972   2.4867  29.6455 113.6260   2.4867   9.0317   9.1084 -5.49172  7.26608  0.09204 -0.00475 -0.00338  0.00025
          7.0965092  9.55862 10.08555 0.055126 340.4751   2.4868  30.4700 113.6262   2.4868   9.0317   9.1125 -5.60503  7.18411  0.09798 -0.00469 -0.00345  0.00025
          7.1622177  9.55783 10.08401 0.055052 340.4465   2.4868  31.3010 113.6264   2.4868   9.0317   9.1166 -5.71707  7.10053  0.10389 -0.00464 -0.00352  0.00025
          7.2717317  9.55632 10.08112 0.054916 340.3749   2.4869  32.7087 113.6269   2.4869   9.0315   9.1238 -5.90092  6.95769  0.11369 -0.00455 -0.00363  0.00024
          7.3374401  9.55544 10.07948 0.054843 340.3234   2.4869  33.5609 113.6274   2.4869   9.0314   9.1282 -6.00946  6.86990  0.11954 -0.00449 -0.00369  0.00024
          7.4031485  9.55465 10.07806 0.054780 340.2744   2.4870  34.4105 113.6278   2.4870   9.0312   9.1326 -6.11665  6.78057  0.12536 -0.00444 -0.00375  0.00024
